#{"t_start": 1743683177.9754236, "env_id": "None"}
r,l,t
-15.5,20,2.349948
18.9,17,2.349948
-3.5,20,2.359804
-3.7,20,2.359804
8.7,13,2.359804
18.8,4,2.359804
19.6,8,2.359804
-35.3,20,2.39422
13.1,13,2.403613
-16.9,20,2.423049
21.3,16,2.43604
-21.7,20,2.451413
9.5,20,2.47001
-16.5,20,2.490693
25.7,14,2.510887
28.3,16,2.522917
-16.7,20,2.537817
-28.7,20,2.554926
-13.7,20,2.575038
19.7,9,2.5829
-38.5,20,2.601493
16.6,8,2.61014
22.5,15,2.626282
14.3,7,2.630362
-18.5,20,2.658402
-12.9,20,2.682133
-3.7,20,2.707566
-16.5,20,2.730083
17.9,7,2.739918
9.7,18,2.761152
-22.1,20,2.786903
20.7,10,2.79719
-16.7,20,2.814409
-19.3,20,2.838117
11.8,8,2.84618
-23.3,20,2.866799
8.2,8,2.87625
14.5,20,2.899716
-17.9,20,2.919896
16.9,3,2.924274
-15.5,20,2.945483
-7.7,20,2.959789
-2.9,20,2.980443
21.1,12,2.989904
10.3,11,3.001504
13.9,18,3.018754
-6.1,20,3.037805
-19.3,20,3.053187
-19.9,20,3.073487
-15.9,20,3.091044
-7.1,20,3.111626
17.5,19,3.135758
-20.3,20,3.160933
23.2,8,3.169812
-8.7,20,3.197565
-0.9,20,3.22513
21.3,16,3.247473
3.9,19,3.271966
-10.7,20,3.296952
0.1,20,3.310024
-22.7,20,3.390986
-15.3,20,3.408332
13.1,12,3.417362
-8.1,20,3.438671
9.3,11,3.440829
-9.5,20,3.463318
19.8,6,3.474409
-7.9,20,3.494667
9.3,5,3.498667
9.7,20,3.521872
-1.3,20,3.542698
-15.5,20,3.559612
1.1,20,3.57996
-15.7,20,3.599998
-2.7,20,3.619898
6.9,20,3.646564
-14.9,20,3.678801
-4.3,20,3.713156
5.7,18,3.743782
17.3,20,3.776867
-10.5,20,3.812382
23.5,15,3.832285
-20.1,20,3.959834
28.7,10,3.976324
-15.1,20,4.079759
17.1,3,4.086174
-10.9,20,4.108398
26.5,10,4.114787
-11.9,20,4.138375
10.3,11,4.155073
-17.1,20,4.188259
16.3,11,4.205482
21.1,20,4.241631
19.3,15,4.263058
-11.7,20,4.296515
-31.7,20,4.327
-16.1,20,4.380514
18.3,20,4.410053
-18.1,20,4.43194
23.7,17,4.449712
-19.9,20,4.477512
-9.9,20,4.50686
19.1,18,4.533216
13.9,7,4.543603
-22.9,20,4.576934
19.1,12,4.595847
0.3,20,4.620128
-22.7,20,4.63973
22.9,17,4.661798
-8.3,20,4.696635
16.1,20,4.726392
-29.9,20,4.758712
3.1,20,4.79494
20.0,6,4.807141
6.1,20,4.836585
-8.1,20,4.859962
8.3,15,4.879904
-15.9,20,4.914822
-8.9,20,4.972656
-19.1,20,5.003783
-3.1,20,5.038357
-7.9,20,5.067062
-13.5,20,5.090883
-11.5,20,5.10996
5.7,13,5.129884
20.3,15,5.142057
-5.9,20,5.15855
-2.5,20,5.178166
-27.9,20,5.199727
20.0,6,5.210622
-3.5,20,5.24193
-4.5,20,5.263672
-25.9,20,5.295719
-23.5,20,5.320838
-20.9,20,5.350506
-13.9,20,5.37981
15.5,16,5.399065
-15.9,20,5.420048
-11.7,20,5.446884
-13.9,20,5.469917
-3.7,20,5.496012
-18.9,20,5.517259
-22.9,20,5.534714
-19.9,20,5.556393
-14.3,20,5.579687
19.7,19,5.600607
-5.7,20,5.618528
-20.3,20,5.635669
3.5,18,5.649737
2.9,20,5.675668
21.1,7,5.684624
-20.5,20,5.71319
-20.7,20,5.739577
-20.5,20,5.76276
-20.9,20,5.787066
11.5,10,5.79725
-11.9,20,5.827378
15.1,18,5.851445
-2.5,20,5.873118
20.9,19,5.892649
-7.9,20,5.910677
13.1,3,5.910677
23.7,10,5.921682
-7.1,20,5.941054
3.7,20,5.962451
-26.5,20,5.984735
-19.9,20,6.002587
-12.9,20,6.01853
-6.9,20,6.034974
1.9,20,6.049842
-16.9,20,6.069736
14.6,2,6.069736
-15.9,20,6.089911
19.9,16,6.123592
-5.7,20,6.143607
-27.7,20,6.166834
-5.7,20,6.184738
-14.9,20,6.19992
10.7,17,6.22287
-8.5,20,6.246383
0.3,20,6.27288
-8.5,20,6.297737
10.1,7,6.304263
1.7,20,6.323981
-8.1,20,6.349734
-18.7,20,6.376884
-16.9,20,6.398863
-18.5,20,6.416223
-5.1,20,6.438565
17.3,11,6.449707
9.9,14,6.465249
18.4,4,6.467256
-15.1,20,6.48573
-23.1,20,6.509769
-12.3,20,6.528837
-5.7,20,6.544804
-17.9,20,6.562109
19.4,4,6.562109
-15.7,20,6.584719
-19.9,20,6.60559
2.3,20,6.625447
13.7,7,6.630032
-13.9,20,6.653885
8.1,20,6.676107
-11.9,20,6.695005
-25.7,20,6.719781
-20.3,20,6.748629
-28.3,20,6.80979
27.1,11,6.84417
15.4,4,6.868834
20.3,10,6.903721
-6.7,20,6.947049
3.1,20,6.972075
-7.7,20,6.993181
14.3,20,7.012816
-11.9,20,7.029721
-18.5,20,7.04997
14.9,9,7.0619
30.9,18,7.08133
21.9,9,7.094331
-3.1,20,7.117049
-10.1,20,7.134715
-14.1,20,7.155502
20.6,8,7.165898
16.1,12,7.173413
15.8,6,7.180019
-21.7,20,7.197963
-23.5,20,7.214823
-10.9,20,7.240987
0.9,20,7.260653
5.9,18,7.283618
-1.9,20,7.305081
-30.3,20,7.351265
17.7,18,7.373836
4.7,20,7.399647
-4.5,20,7.424601
-31.3,20,7.444919
8.3,12,7.464063
-0.7,20,7.489368
19.7,10,7.503385
-9.3,20,7.526314
7.1,12,7.537668
11.1,20,7.556136
-8.9,20,7.575524
27.4,8,7.586055
-21.7,20,7.609921
-0.7,20,7.627789
-17.7,20,7.646879
12.7,10,7.656944
-16.9,20,7.679626
18.3,7,7.687674
24.9,13,7.708086
-7.7,20,7.734064
-2.1,20,7.759621
-23.3,20,7.788241
-39.1,20,7.813681
-4.1,20,7.846824
21.5,15,7.859681
27.9,16,7.887329
-20.3,20,7.911872
12.7,13,7.930467
-11.7,20,7.949882
16.1,11,7.963424
-20.1,20,7.984536
-21.7,20,8.007409
-3.1,20,8.02987
21.1,13,8.042081
19.1,12,8.052593
-24.9,20,8.06774
-28.3,20,8.085052
-23.3,20,8.101451
-19.7,20,8.118932
9.3,16,8.130041
-12.3,20,8.149966
11.3,20,8.175749
-8.1,20,8.191675
-4.9,20,8.211679
22.7,13,8.219722
-2.5,20,8.236898
15.6,8,8.245923
-12.3,20,8.261317
-15.1,20,8.291246
-2.7,20,8.315426
7.9,20,8.338675
-17.7,20,8.364828
-15.7,20,8.386894
16.6,8,8.396843
-9.1,20,8.420631
8.3,20,8.443754
-9.5,20,8.485253
7.1,20,8.510467
13.7,5,8.518542
-19.5,20,8.537876
23.1,15,8.553655
-8.9,20,8.579587
-31.3,20,8.598959
-4.7,20,8.626529
-6.9,20,8.649851
-10.9,20,8.672881
-13.5,20,8.696417
23.1,12,8.712045
-2.9,20,8.745969
-4.9,20,8.764889
14.1,7,8.772418
5.9,20,8.795478
-12.9,20,8.819841
13.9,20,8.848713
8.7,14,8.870706
25.3,11,8.88343
-22.1,20,8.909694
-6.9,20,8.936865
1.3,20,8.966455
11.4,4,8.973279
19.4,6,8.982551
-16.5,20,9.007455
-12.3,20,9.034271
-8.1,20,9.054185
2.9,20,9.075559
16.1,12,9.08478
-16.9,20,9.103477
17.5,11,9.115902
-30.7,20,9.136121
-10.5,20,9.158084
18.5,10,9.1686
-0.5,20,9.193384
-13.3,20,9.210448
-23.1,20,9.240732
3.3,20,9.259644
-23.9,20,9.286556
27.4,8,9.297525
-1.9,20,9.320056
-15.9,20,9.340036
21.9,20,9.366036
-0.7,20,9.397126
3.1,20,9.428554
-7.1,20,9.458304
-10.7,20,9.491039
-26.7,20,9.516701
-1.1,20,9.537822
20.1,11,9.54482
12.9,18,9.562926
-10.3,20,9.592083
14.9,12,9.607103
-19.7,20,9.626234
10.9,20,9.643797
15.5,20,9.66501
-14.1,20,9.702652
16.9,13,9.720142
-0.5,20,9.74155
-27.7,20,9.759915
-7.1,20,9.783266
-11.5,20,9.798123
-5.5,20,9.814753
-19.3,20,9.845905
-0.3,20,9.883522
-17.7,20,9.919651
-34.9,20,9.956764
16.7,10,9.973613
16.5,10,9.989398
-11.1,20,10.020072
-24.7,20,10.042944
9.7,18,10.064015
22.7,20,10.090806
-3.7,20,10.117209
-15.7,20,10.142465
15.2,4,10.149608
20.9,18,10.177083
-19.7,20,10.191039
-10.1,20,10.220095
-10.9,20,10.244403
-4.1,20,10.266299
-11.1,20,10.284093
-30.1,20,10.30775
12.9,20,10.331661
13.5,11,10.342848
-17.5,20,10.376216
1.1,15,10.401757
15.9,19,10.434386
-2.1,20,10.464012
-3.7,20,10.489849
-10.9,20,10.515733
11.1,17,10.539828
18.3,16,10.553952
12.9,13,10.569481
-21.9,20,10.59085
-16.7,20,10.610197
-19.9,20,10.629587
7.1,20,10.659876
-6.7,20,10.68535
-26.3,20,10.713764
-18.7,20,10.739807
12.9,20,10.759792
18.5,16,10.778691
12.7,15,10.793694
14.3,7,10.801741
-5.9,20,10.820208
-2.1,20,10.841943
-14.7,20,10.939822
-1.7,20,10.973144
22.3,11,10.989815
-0.5,20,11.024316
-19.3,20,11.073155
29.7,13,11.093842
-6.9,20,11.111057
-3.7,20,11.139955
6.7,18,11.159642
18.8,6,11.174066
-14.3,20,11.203172
21.7,13,11.221942
14.7,14,11.234705
-4.1,20,11.261901
13.7,18,11.280511
-15.7,20,11.304323
14.7,14,11.319999
1.1,20,11.345922
17.5,11,11.353436
0.5,20,11.377819
-10.1,20,11.408629
-6.9,20,11.438441
-24.7,20,11.469924
4.5,20,11.496013
13.5,20,11.521287
-7.7,20,11.550335
-3.1,20,11.568746
-12.7,20,11.593073
-21.7,20,11.612054
12.7,5,11.618072
11.1,12,11.629659
-10.7,20,11.649717
-6.7,20,11.674614
-14.9,20,11.698026
-4.9,20,11.716526
-27.7,20,11.739794
-2.1,20,11.762958
13.9,13,11.772469
-24.1,20,11.790012
-2.1,20,11.812733
12.7,10,11.821547
-11.1,20,11.84759
3.3,20,11.866746
16.1,13,11.879602
1.1,20,11.907693
-21.5,20,11.933751
-25.9,20,11.956603
-6.5,20,11.985541
22.1,12,11.999922
-12.3,20,12.028539
-14.5,20,12.052052
-10.1,20,12.068908
15.4,4,12.072741
-23.9,20,12.090524
10.1,12,12.099734
-18.9,20,12.123572
3.9,20,12.139735
-19.7,20,12.15427
-2.5,20,12.178655
-14.9,20,12.206903
-22.9,20,12.252982
-14.5,20,12.300015
-21.3,20,12.333775
16.1,13,12.351899
17.5,13,12.36817
-2.3,20,12.395756
12.3,20,12.421049
-6.5,20,12.450045
10.1,11,12.459759
4.3,20,12.492994
-19.9,20,12.513033
20.9,13,12.529768
24.1,10,12.544818
-2.5,20,12.574808
-19.3,20,12.589836
-15.5,20,12.612762
3.1,20,12.633615
-0.9,20,12.652221
28.3,10,12.660737
23.3,20,12.679982
15.1,12,12.69549
-6.7,20,12.72049
14.3,7,12.728881
-4.9,20,12.750051
-10.9,20,12.769712
-13.5,20,12.790738
12.7,14,12.800539
18.8,6,12.810396
-30.3,20,12.826654
15.3,20,12.840462
-14.9,20,12.864364
-1.1,20,12.884684
13.7,15,12.899863
-5.7,20,12.924414
-27.5,20,12.949796
-19.1,20,12.969926
16.7,18,12.996728
25.7,14,13.018686
8.7,10,13.031064
-23.1,20,13.049849
4.3,20,13.080174
20.3,10,13.09111
25.7,9,13.098108
-9.1,20,13.118892
-6.7,20,13.134082
20.3,19,13.155364
6.5,17,13.170006
0.7,20,13.192349
17.1,11,13.199579
-26.7,20,13.221663
17.9,12,13.231539
-10.9,20,13.250011
3.7,20,13.269882
-12.9,20,13.28918
23.9,12,13.301151
14.1,7,13.307071
14.1,11,13.321095
15.7,10,13.334829
7.5,20,13.360354
3.1,16,13.376527
21.7,18,13.394669
10.3,11,13.408148
8.9,20,13.459845
17.7,14,13.484017
11.3,20,13.512929
-20.9,20,13.542067
12.1,10,13.556589
5.1,20,13.585363
14.4,4,13.590567
-14.7,20,13.621244
-19.9,20,13.639808
7.1,19,13.661846
18.1,18,13.67972
-4.1,20,13.701961
-17.7,20,13.721441
-8.9,20,13.745847
-26.9,20,13.769814
1.9,20,13.790753
19.9,12,13.802673
18.7,9,13.813853
-3.9,20,13.838372
-0.1,20,13.869878
-2.7,20,13.90206
3.3,20,13.934177
-4.9,20,13.968395
-16.1,20,13.99987
11.7,10,14.019771
-15.7,20,14.05703
-13.9,20,14.086905
15.3,20,14.116793
10.9,14,14.129717
23.9,20,14.161816
16.9,3,14.166324
-19.1,20,14.189728
-6.9,20,14.21466
-27.7,20,14.241716
4.3,20,14.269712
-12.3,20,14.291942
2.5,20,14.309917
20.9,7,14.319801
-1.9,20,14.36768
2.5,11,14.407089
-3.9,20,14.434826
26.1,11,14.478536
-8.1,20,14.536387
-13.7,20,14.591839
19.9,16,14.629732
-19.3,20,14.701237
0.9,20,14.749918
-5.7,20,14.78067
14.9,20,14.812133
-3.7,20,14.846605
-25.9,20,14.874013
-27.7,20,14.898604
26.1,7,14.909783
7.1,20,14.93843
20.5,5,14.942428
-13.7,20,14.970145
-16.3,20,15.010332
24.1,11,15.029801
1.9,20,15.113497
-8.7,20,15.144552
3.1,20,15.17962
0.9,20,15.209922
19.3,12,15.229033
-0.9,20,15.25995
21.5,5,15.266235
21.9,17,15.297024
-14.5,20,15.323779
4.1,20,15.349725
-16.7,20,15.373935
13.1,15,15.394145
-14.3,20,15.413695
-14.9,20,15.444001
18.1,7,15.455515
22.9,13,15.471719
-18.7,20,15.508081
-10.1,20,15.539632
21.5,9,15.549933
17.9,16,15.583955
4.5,20,15.617817
14.5,15,15.636014
15.4,4,15.645961
-10.3,20,15.681058
7.3,20,15.703521
-4.9,20,15.732176
-14.5,20,15.757275
-12.9,20,15.776885
15.7,19,15.798039
-11.1,20,15.817602
-10.9,20,15.842395
-6.1,20,15.864506
-19.1,20,15.884905
-0.5,20,15.902741
11.3,16,15.917739
-19.3,20,15.937284
24.1,16,15.957319
2.3,20,15.975344
-4.7,20,15.99595
9.1,17,16.01364
4.5,20,16.035636
20.9,13,16.051339
13.1,11,16.058331
-14.3,20,16.087904
-2.3,20,16.109896
-18.3,20,16.129957
-26.9,20,16.150196
8.1,20,16.168882
-6.1,20,16.190661
-20.1,20,16.207712
18.7,9,16.217219
17.3,11,16.226018
-8.1,20,16.243924
-15.5,20,16.25994
-24.7,20,16.276459
22.5,14,16.292905
-19.9,20,16.310935
-9.9,20,16.342964
7.9,18,16.365207
-9.1,20,16.385226
14.5,14,16.400259
-3.9,20,16.419767
-23.3,20,16.441052
-13.3,20,16.459782
20.1,13,16.469884
-0.3,20,16.491759
-18.3,20,16.507975
-14.7,20,16.529964
25.7,14,16.550554
7.5,20,16.572846
12.9,17,16.591997
-12.3,20,16.62462
18.4,8,16.633664
-4.3,20,16.663554
-1.7,20,16.683105
-5.9,20,16.703735
-15.9,20,16.726481
15.1,16,16.744263
28.5,19,16.769706
6.1,20,16.791929
-18.9,20,16.809557
14.7,9,16.82435
0.1,20,16.847784
-8.7,20,16.871487
8.1,20,16.89601
-6.9,20,16.917451
-8.7,20,16.935838
-14.9,20,16.959669
-17.7,20,16.979845
-15.9,20,16.998889
-5.1,20,17.009927
23.2,8,17.031433
-19.1,20,17.062209
2.9,20,17.090909
-14.1,20,17.11982
2.1,20,17.152471
0.7,20,17.182943
10.7,14,17.200327
-18.7,20,17.223191
-17.5,20,17.250118
-3.5,20,17.26981
-5.5,20,17.293517
1.9,20,17.314821
-19.3,20,17.334715
-11.9,20,17.349647
-4.7,20,17.369684
15.9,20,17.389839
31.7,13,17.407933
15.7,14,17.419611
-7.9,20,17.438992
-8.1,20,17.465935
16.5,20,17.560187
-2.9,20,17.587004
6.3,20,17.617447
-8.7,20,17.649589
-7.9,20,17.678176
12.3,10,17.696651
-20.1,20,17.721423
-0.1,20,17.739967
-8.9,20,17.769979
-7.7,20,17.792432
-11.7,20,17.8116
4.1,20,17.836958
-11.9,20,17.865113
-1.9,20,17.892291
15.7,17,17.907887
-12.5,20,17.931937
-13.7,20,17.959601
14.3,20,17.991864
-24.1,20,18.011744
-8.3,20,18.044543
8.3,20,18.082875
-18.7,20,18.116548
0.5,20,18.152133
8.9,17,18.173343
5.9,20,18.205136
-10.7,20,18.236937
-15.5,20,18.259846
-14.5,20,18.279732
16.5,10,18.296869
10.3,12,18.312903
23.7,13,18.327255
0.3,20,18.3515
-4.3,20,18.374774
16.6,8,18.379549
-11.9,20,18.399882
-11.7,20,18.428097
-26.5,20,18.459744
-5.9,20,18.489844
12.9,17,18.511693
15.3,12,18.524402
3.3,20,18.549798
18.7,12,18.575385
-3.9,20,18.61002
-11.9,20,18.644217
18.3,11,18.667481
-2.5,20,18.699964
-3.9,20,18.729762
18.0,6,18.742053
15.1,17,18.772258
-19.7,20,18.800128
-0.5,20,18.829619
-14.7,20,18.853327
-8.1,20,18.881953
-5.1,20,18.903433
-10.5,20,18.922416
-24.1,20,18.963137
-13.1,20,18.997296
-14.7,20,19.097041
24.3,11,19.108267
-14.7,20,19.135685
-13.3,20,19.168919
-11.9,20,19.20032
-4.9,20,19.227919
8.1,20,19.257718
15.1,12,19.269742
24.7,9,19.282282
-9.9,20,19.305251
-11.9,20,19.333185
-12.5,20,19.364461
-3.9,20,19.386102
8.5,20,19.408431
-3.1,20,19.431688
14.1,20,19.461039
21.3,16,19.479651
-12.9,20,19.502201
-12.9,20,19.525265
22.9,14,19.539797
-10.7,20,19.563834
-13.9,20,19.584868
-8.9,20,19.609833
4.3,20,19.642967
16.4,8,19.655573
11.1,20,19.68403
20.9,14,19.703147
-3.7,20,19.731927
-0.3,20,19.759397
14.7,9,19.769953
17.7,15,19.787709
18.5,19,19.805265
22.3,19,19.829987
17.5,5,19.838838
17.1,16,19.852905
-6.3,20,19.877289
12.9,18,19.899733
27.1,19,19.919674
21.7,9,19.927463
6.5,20,19.950036
1.3,20,19.975922
-3.9,20,19.996664
-6.9,20,20.014758
12.1,20,20.043246
13.1,11,20.063046
21.1,19,20.085227
15.7,20,20.149709
4.1,20,20.184959
-6.7,20,20.214569
13.5,20,20.244253
7.9,20,20.268111
18.3,20,20.298359
-16.5,20,20.316987
23.3,20,20.334217
0.5,20,20.380251
-11.3,20,20.406586
-19.5,20,20.425887
16.4,8,20.4356
5.3,20,20.45365
23.9,20,20.480485
-20.1,20,20.505625
24.7,18,20.525658
3.3,20,20.547211
15.5,17,20.56788
-10.9,20,20.595057
-10.7,20,20.61961
-14.9,20,20.64805
0.5,20,20.683074
-12.1,20,20.713642
-9.5,20,20.744366
7.9,20,20.842055
-8.1,20,20.881839
16.7,20,20.912048
-1.9,20,20.939702
-6.9,20,20.960308
-7.1,20,20.987427
-18.1,20,21.00554
19.2,4,21.011266
-10.3,20,21.03283
-5.1,20,21.055463
5.1,20,21.078157
-1.7,20,21.098099
-0.9,20,21.109926
-0.5,20,21.141139
-5.7,20,21.159835
-7.1,20,21.1926
11.9,14,21.215741
9.3,5,21.219567
-8.5,20,21.246188
32.3,16,21.269011
15.5,20,21.29997
1.7,20,21.326405
-11.9,20,21.347608
0.9,20,21.365826
11.5,20,21.385033
17.1,13,21.399724
23.1,20,21.423258
-11.9,20,21.445896
12.3,20,21.467604
20.3,20,21.48982
17.7,20,21.511807
-16.3,20,21.528717
-8.9,20,21.551434
-1.9,20,21.574292
-6.9,20,21.599558
-7.7,20,21.621595
-15.7,20,21.638416
-22.7,20,21.695518
20.9,20,21.734071
24.3,12,21.748802
25.7,18,21.774939
7.9,20,21.80383
7.1,20,21.827769
-11.7,20,21.850604
-10.5,20,21.870922
-6.5,20,21.89195
-17.7,20,21.917936
8.5,20,21.938919
-14.5,20,21.95826
-23.7,20,21.977922
-4.1,20,21.999775
14.3,14,22.010934
-2.1,20,22.029886
-0.7,20,22.049956
0.7,20,22.064997
3.3,20,22.095082
33.3,19,22.125667
18.7,18,22.144713
-4.9,20,22.176961
2.3,20,22.203522
-13.7,20,22.233369
9.3,20,22.275214
-0.1,20,22.309581
-10.5,20,22.341263
-3.9,20,22.364712
15.0,6,22.375058
0.9,20,22.401716
-17.7,20,22.425479
1.1,20,22.453761
4.9,20,22.478259
-14.7,20,22.499727
1.3,20,22.526576
-6.9,20,22.552109
-6.7,20,22.573578
-21.9,20,22.597688
