#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
5.1,13,2.378499
-3.9,20,2.394657
-18.9,20,2.410713
-1.5,20,2.427427
17.7,9,2.427427
20.3,10,2.44633
8.5,15,2.458665
6.3,20,2.476317
-8.7,20,2.508398
-11.3,20,2.524402
-18.7,20,2.550148
-6.9,20,2.573807
-20.1,20,2.587596
5.3,20,2.603535
-23.1,20,2.619594
-3.7,20,2.635588
-19.7,20,2.635588
1.1,20,2.651602
18.3,7,2.669682
14.1,11,2.676224
-12.9,20,2.683589
-23.7,20,2.699384
-22.5,20,2.715038
-21.3,20,2.730711
3.1,20,2.746589
-3.9,20,2.766467
-21.1,20,2.780312
10.1,13,2.794026
-0.9,20,2.810193
-31.1,20,2.82587
-29.7,20,2.841858
-22.7,20,2.857579
-21.1,20,2.876338
-18.5,20,2.892449
19.9,13,2.892449
-22.9,20,2.905619
-22.9,20,2.92132
-19.9,20,2.937187
-15.7,20,2.967497
17.1,12,2.97647
-13.3,20,2.987081
13.9,14,3.003939
8.3,15,3.024396
27.3,10,3.033213
-7.7,20,3.055584
-11.7,20,3.073364
-8.7,20,3.092991
-19.9,20,3.10731
-23.5,20,3.120628
-20.1,20,3.136413
1.3,20,3.152127
17.3,7,3.152127
-5.5,18,3.176811
-12.7,20,3.183882
8.5,20,3.199669
-15.1,20,3.262819
-22.7,20,4.230848
-11.5,20,4.248636
-23.9,20,4.266165
-3.5,20,4.281708
-20.9,20,4.300199
11.1,16,4.31297
2.3,20,4.330573
11.1,12,4.350563
9.9,14,4.362648
-6.7,20,4.382816
-8.1,20,4.398349
26.7,10,4.411462
-8.1,20,4.427876
-25.9,20,4.454053
23.1,12,4.459815
18.9,9,4.47188
3.1,20,4.498413
8.3,16,4.510232
-15.1,20,4.534206
-9.1,20,4.549843
-17.1,20,4.576961
-2.7,20,4.597186
-23.1,20,4.616718
-17.7,20,4.639916
-24.3,20,4.65559
-2.9,20,4.671273
-7.7,20,4.687176
-17.3,20,4.703276
-19.3,20,4.721971
-29.9,20,4.735132
-13.7,20,4.750979
21.7,14,4.766967
-22.3,20,4.782667
5.3,20,4.798705
-12.9,20,4.814812
-19.1,20,4.832561
-6.7,20,4.84861
-13.5,20,4.864406
-21.9,20,4.880456
-13.5,20,4.896268
18.9,18,4.910056
22.5,10,4.918085
14.6,2,4.918085
11.1,20,4.933753
-12.1,20,4.944107
-23.7,20,4.957132
-3.9,20,4.978708
20.6,8,4.978708
6.5,20,4.988763
-4.7,20,5.020755
-20.3,20,5.036824
15.7,15,5.054863
-12.1,20,5.079021
9.3,11,5.084293
-22.5,20,5.10517
-13.9,20,5.131721
-2.1,20,5.162347
-16.7,20,6.064259
21.1,11,6.080099
-17.7,20,6.105391
13.5,16,6.127269
-11.3,20,6.15083
22.3,10,6.163872
6.1,20,6.184249
-3.7,20,6.208083
-15.3,20,6.225885
14.8,2,6.227884
-19.1,20,6.244858
-17.9,20,6.261244
-12.7,20,6.280051
-5.9,20,6.286582
-18.9,20,6.302244
24.1,13,6.318374
5.3,20,6.334503
-1.5,20,6.352431
-20.1,20,6.366091
19.7,18,6.381805
-11.7,20,6.397815
-10.9,20,6.413909
-7.1,20,6.4296
11.3,12,6.4296
18.7,20,6.445322
20.5,17,6.463553
2.9,20,6.480202
-25.7,20,6.494947
18.5,13,6.509513
-15.9,20,6.525571
23.9,17,6.525571
-0.7,20,6.557339
7.1,20,6.575242
-23.7,20,6.589762
-15.3,20,6.607152
-24.3,20,6.626815
-22.1,20,6.657253
-7.1,20,6.686322
-20.1,20,6.705545
4.1,20,6.731017
14.6,2,6.731017
-17.7,20,6.755162
-20.9,20,6.773174
-3.3,20,6.798174
-11.1,20,6.82447
-9.1,20,6.856718
18.5,20,6.886813
7.1,20,6.899831
13.7,9,6.915854
10.7,14,6.927005
-6.7,20,6.941688
-0.1,20,6.959497
23.8,6,6.963255
21.7,9,6.963255
-8.9,20,7.009274
20.7,20,7.024277
1.1,20,7.045028
20.6,8,7.053138
-2.9,20,7.073726
19.7,14,7.949739
-23.5,20,7.970282
13.7,5,7.976295
-19.9,20,7.995418
4.9,20,8.013298
3.1,20,8.031131
11.3,20,8.048903
5.1,20,8.060698
-11.9,20,8.091765
-1.5,20,8.112152
-7.5,20,8.13651
-14.9,20,8.155476
-0.5,20,8.17135
10.3,20,8.202996
8.9,20,8.234619
-12.5,20,8.250547
13.7,5,8.250547
-17.1,20,8.266271
-6.3,20,8.281595
-1.9,20,8.300315
-13.7,20,8.313464
-9.5,20,8.330453
-7.7,20,8.353869
2.5,20,8.35681
-2.5,20,8.381995
2.9,20,8.388066
-1.9,20,8.407053
-19.9,20,8.429271
-6.7,20,8.436325
-5.5,20,8.45224
22.7,19,8.46801
-0.3,20,8.48375
14.1,7,8.48375
6.1,20,8.499468
-11.7,20,8.518123
19.1,12,8.531116
20.7,17,8.531116
-2.9,20,8.547214
12.5,20,8.563336
13.9,13,8.582087
-9.9,20,8.595163
5.1,20,8.610944
9.5,20,8.633011
18.5,20,8.653965
14.5,11,8.658771
-8.9,20,8.68236
0.1,20,8.701186
-8.9,20,8.722189
6.1,20,8.722189
-9.1,20,8.739942
-18.7,20,8.771959
33.1,15,8.791355
-1.7,20,8.808349
-5.9,20,8.823028
1.3,20,8.824041
1.5,20,9.66034
22.4,8,9.66034
28.3,19,9.697156
-3.1,20,9.718571
7.3,20,9.740966
8.9,20,9.765822
-1.7,20,9.783872
18.8,6,9.783872
0.3,20,9.811278
-0.9,20,9.829046
15.0,6,9.834917
-13.7,20,9.844963
-8.5,20,9.86835
24.7,20,9.883966
-9.9,20,9.892137
27.3,10,9.908076
7.5,20,9.924466
-11.7,20,9.941806
-7.5,20,9.956373
8.9,20,9.971568
1.9,20,9.987428
1.1,20,10.003073
-12.3,20,10.019189
20.7,19,10.037595
-4.7,20,10.051095
7.5,20,10.066826
19.5,10,10.066826
14.9,12,10.083999
-1.3,20,10.0991
15.3,20,10.114844
5.7,20,10.130505
1.9,20,10.149584
3.5,20,10.162194
0.9,20,10.197077
-10.9,20,10.213706
-4.3,20,10.225453
4.9,20,10.253038
-16.1,20,10.269993
25.7,13,10.281043
2.5,20,10.289117
10.5,20,10.311249
-12.1,20,10.327049
20.3,11,10.335078
-7.7,20,10.348882
